H,B,S,V,R,C_hat,runtime,sat,alpha
0.4,1.0,1.0,0.1810924369747899,0.7888531459476381,0.04049352890865499,0.0004220008850097656,True,4.0
0.4,0.9791666666666666,1.0,0.17787114845938376,0.773718790189684,0.03927691467908914,0.00046372413635253906,True,4.0
0.4,0.9861111111111112,1.0,0.1799719887955182,0.7711404898139974,0.040080927128827375,0.00014925003051757812,True,4.0
0.4,0.9444444444444444,1.0,0.17829131652661062,0.7846248154652538,0.03774154576101351,0.0006809234619140625,True,4.0
0.4,0.9916666666666667,1.0,0.1792717086834734,0.7643750770733536,0.04030385250818738,0.00013303756713867188,True,4.0
0.4,0.9666666666666667,1.0,0.1781512605042017,0.7938000603915651,0.03840180261806207,0.0001399517059326172,True,4.0
0.4,0.9513888888888888,1.0,0.1773109243697479,0.7939405241567099,0.037613654530301806,0.00039696693420410156,True,4.0
0.4,0.9458333333333333,1.0,0.18221288515406162,0.7910258905415927,0.03849034811372815,0.0001881122589111328,True,4.0
0.4,0.9819444444444444,1.0,0.17871148459383754,0.759114759573873,0.039902968899114676,0.0016031265258789062,True,4.0
0.4,0.9763888888888889,1.0,0.17703081232492998,0.773718790189684,0.038980457000367646,0.0006699562072753906,False,4.0
0.4,0.9652777777777778,1.0,0.17717086834733892,0.7769603870975464,0.03849699920593479,0.0010440349578857422,True,4.0
0.4,0.975,1.0,0.17983193277310924,0.7887186804690387,0.03920932695343719,0.00030303001403808594,True,4.0
0.4,0.9972222222222222,1.0,0.1799719887955182,0.7579641288297914,0.040836344281677116,0.0008451938629150391,True,4.0
0.4,0.9458333333333333,1.0,0.18011204481792717,0.7921276276789383,0.03802318039694019,0.0005669593811035156,True,4.0
0.4,0.9916666666666667,1.0,0.1792717086834734,0.7721886073666916,0.040126153947555435,0.0009200572967529297,True,4.0
0.4,0.9888888888888889,1.0,0.17787114845938376,0.7801670488609724,0.03952321371825264,0.0001480579376220703,True,4.0
0.4,0.9861111111111112,0.9979166666666667,0.17955182072829132,0.7653662627780138,0.04003456566520576,0.0013027191162109375,True,4.0
0.4,0.9583333333333334,1.0,0.18375350140056024,0.7950704120685455,0.039240156556002985,0.0004639625549316406,True,4.0
0.4,0.9847222222222223,1.0,0.18137254901960784,0.7812974408855919,0.04010595420496355,0.0011966228485107422,True,4.0
0.4,0.9930555555555556,1.0,0.1819327731092437,0.7791711829081973,0.04061876839222908,0.00048089027404785156,True,4.0
0.4,0.9847222222222223,1.0,0.18221288515406162,0.7966422747596548,0.039947647720142594,0.0008368492126464844,True,4.0
0.4,0.9513888888888888,1.0,0.18011204481792717,0.7747896404077419,0.038620149392451925,0.00029277801513671875,True,4.0
0.4,0.9972222222222222,1.0,0.18123249299719887,0.7675981261544046,0.040898227068780706,0.0006039142608642578,True,4.0
0.4,0.9791666666666666,1.0,0.18011204481792717,0.7802921191796863,0.03962489371303389,0.00038909912109375,True,4.0
0.4,0.9763888888888889,1.0,0.18207282913165268,0.7627407234238174,0.04034033806044211,0.0005290508270263672,True,4.0
0.4,0.9638888888888889,1.0,0.18081232492997198,0.7790472822152982,0.03918569161461874,0.00019216537475585938,True,4.0
0.4,0.9972222222222222,1.0,0.18235294117647058,0.7819301108912979,0.0408200991884303,0.0002551078796386719,True,4.0
0.4,0.9944444444444445,1.0,0.18081232492997198,0.7811713100713499,0.040379679472699326,0.0006468296051025391,True,4.0
0.4,0.9666666666666667,1.0,0.1760504201680672,0.7590097126033526,0.03869951962341008,0.0005018711090087891,True,4.0
0.4,0.9444444444444444,1.0,0.17759103641456583,0.7842360807954467,0.03760149769209531,0.0003592967987060547,True,4.0
0.4,0.9972222222222222,1.0,0.18137254901960784,0.7939405241567099,0.04032881546132992,0.0009679794311523438,True,4.0
0.4,0.9833333333333333,1.0,0.1781512605042017,0.7721886073666916,0.03954027839506486,0.0008890628814697266,True,4.0
0.4,0.925,1.0,0.18123249299719887,0.7734821106119758,0.03781037529569817,0.0010151863098144531,True,4.0
0.4,0.9916666666666667,1.0,0.17857142857142858,0.7818033070355602,0.039753734228377996,0.00037407875061035156,True,4.0
0.4,0.9708333333333333,1.0,0.17591036414565828,0.7833339726295353,0.038305702077312945,0.0026869773864746094,False,4.0
0.4,0.9861111111111112,1.0,0.17913165266106443,0.7673730926962027,0.03997881787138156,0.001325845718383789,False,4.0
